dataset,module,ligand,receptor,event_pair_score,sender_lineage_proxy,receiver_lineage_proxy,known_developmental_relevance,confidence_tier,allowed_claim,forbidden_claim,event_time,module_support_tier
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFB2,ACVR1,0.11034561851155433,Cardiomyocytes,Endothelium,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFB1,TGFBR3,0.10615832217583815,Blood progenitors 1,Haematoendothelial progenitors,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,NODAL,ACVR2B,0.09242985691887108,Notochord,Paraxial mesoderm,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFB2,TGFBR3,0.09212172070855117,Cardiomyocytes,Haematoendothelial progenitors,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF4,FGFR4,0.10101525445522107,Notochord,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF17,FGFR4,0.07686108383556718,Prechordal Plate,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF3,FGFR4,0.06554735253444621,Notochord,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF4,FGFR3,0.06131393394849658,Notochord,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF17,FGFR3,0.04665290844357465,Prechordal Plate,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF3,FGFR3,0.03978573400097128,Notochord,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF4,FGFR2,0.03664208400304122,Notochord,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF17,FGFR2,0.027880445440209258,Prechordal Plate,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF3,FGFR2,0.023776523760664504,Notochord,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,FGF_niche,FGF5,FGFR4,0.023174488732966077,Notochord,Notochord,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,BMP_niche,GDF11,ACVR2B,0.05979689368641679,Notochord,Notochord,BMP/GDF signalling is a canonical germ-layer and patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,BMP_niche,BMP6,ACVR2B,0.01246851424945639,Notochord,Notochord,BMP/GDF signalling is a canonical germ-layer and patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,BMP_niche,BMP15,ACVR2B,0.01246851424945639,Notochord,Notochord,BMP/GDF signalling is a canonical germ-layer and patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
E5_zebrafish_Farrell,TGF_NODAL_ACTIVIN_niche,INHBB,ACVR2B,0.02493702849891278,Prechordal Plate,Notochord,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,10.0,weak
GSE154572_EB_WT,WNT_niche,WNT11,FZD7,0.06946535709273666,cluster_res3_11,cluster_res3_15,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT11,LRP6,0.055167608870480646,cluster_res3_11,cluster_res3_13,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT9A,LRP6,0.050360906369973917,cluster_res3_1,cluster_res3_13,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT11,FZD3,0.04477902822301759,cluster_res3_11,cluster_res3_4,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT3,FZD7,0.04197281412999802,cluster_res3_4,cluster_res3_15,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT9A,FZD3,0.04087747310151201,cluster_res3_1,cluster_res3_4,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT3A,FZD7,0.04010584261684498,cluster_res3_5,cluster_res3_15,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT5A,FZD7,0.039025629332955815,cluster_res3_11,cluster_res3_15,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT3,RYK,0.03839937324985247,cluster_res3_4,cluster_res3_11,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,WNT_niche,WNT3A,RYK,0.036691350152845775,cluster_res3_5,cluster_res3_11,WNT signalling is a canonical developmental patterning and lineage commitment pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,acceptable
GSE154572_EB_WT,Notch_Delta_niche,DLL1,NOTCH3,0.1153046778937538,cluster_res3_5,cluster_res3_4,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,DLL1,NOTCH1,0.1061427343134741,cluster_res3_5,cluster_res3_15,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,JAG2,NOTCH3,0.104730305603468,cluster_res3_11,cluster_res3_4,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,JAG2,NOTCH1,0.09640858641035273,cluster_res3_11,cluster_res3_15,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,DLL1,NOTCH2,0.07719275937128374,cluster_res3_5,cluster_res3_13,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,DLL3,NOTCH3,0.07399815850155461,cluster_res3_4,cluster_res3_4,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,JAG2,NOTCH2,0.07011355850435498,cluster_res3_11,cluster_res3_13,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,DLL3,NOTCH1,0.06811837143983156,cluster_res3_4,cluster_res3_15,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,JAG1,NOTCH3,0.061869585546984525,cluster_res3_15,cluster_res3_4,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
GSE154572_EB_WT,Notch_Delta_niche,JAG1,NOTCH1,0.05695351741799609,cluster_res3_15,cluster_res3_15,Notch/Delta signalling is a canonical contact-dependent fate patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,4.0,weak
